Address,Trans_Type
0x606af0bd4501855914b50e2672c5926b896737ef,ICO_Wallet
0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,ICO_Wallet
0x15c19e6c203e2c34d1edfb26626bfc4f65ef96f0,ICO_Wallet
0x7d5d58560819c172e45b46c0965bbda5a8895f80,ICO_Wallet
0x71e7c73375efbefdf7b4be67e768d9038dde2488,ICO_Wallet
0x126d407584cf73ba5d15102bab0e578a64cca3f1,ICO_Wallet
0x36e6dadc5a045a86dbc9ecfeda5c459784d3537f,ICO_Wallet
0x7bb187351421c3affda57c7a5132e304f73167c8,ICO_Wallet
0x035a401972f228b58dcae76bf318b54ed036d680,ICO_Wallet
0x5894110995b8c8401bd38262ba0c8ee41d4e4658,ICO_Wallet
0x67e4bbe50fbc74633dfd9f7683465c02af896541,ICO_Wallet
0x4f8af8e8734d02a21d73e2a4fb29941f35cbbeac,ICO_Wallet
0x44fcfabfbe32024a01b778c025d70498382cced0,ICO_Wallet
0x7c4b4bb0bb0fadbcb1c54ed55a3b4f1d456726c6,ICO_Wallet
0x537397e3a68584e05e332d2ba75340e37012f50a,ICO_Wallet
0x081edbef6106ab1253557451b261c1c99bade726,ICO_Wallet
0x45fde77ff768aa83df468fb1c6ebc5f2bb21dcea,ICO_Wallet
0x2323763d78bf7104b54a462a79c2ce858d118f2f,ICO_Wallet
0x0bb9fc3ba7bcf6e5d6f6fc15123ff8d5f96cee00,ICO_Wallet
0x3013d62a7357021259c3ee463ec9fbc64de7ba76,ICO_Wallet
0x6a164122d5cf7c840d26e829b46dcc4ed6c0ae48,ICO_Wallet
0x7c27f68b0d5afffb668da3e046adfba6ea1f6bc3,ICO_Wallet
0x26e75307fc0c021472feb8f727839531f112f317,ICO_Wallet
0x55ed2910cc807e4596024266ebdf7b1753405a11,ICO_Wallet
0x5bd48309926121370da1cbbd5b958926e8bdb328,ICO_Wallet
0x23b61de5076526b3a1026491157c6df731ae8b61,ICO_Wallet
0x53f117ca3b93eda96d08c8496af103303c385059,ICO_Wallet
0x75ba02c5baf9cc3e9fe01c51df3cb1437e8690d4,ICO_Wallet
0x4b60b53a6edcd75f0730ecc22579df2079f210b0,ICO_Wallet
0x2097175d0abb8258f2468e3487f8db776e29d076,ICO_Wallet
0x660cdee72302d2941a43db1275eded7827023baa,ICO_Wallet
0x24c3235558572cff8054b5a419251d3b0d43e91b,ICO_Wallet
0x3dbb3e8a5b1e9df522a441ffb8464f57798714b1,ICO_Wallet
0x3061cfbae69bff0f933353cea20de6c89ab16acc,ICO_Wallet
0x72101d19ed90ad71ffaaf6c328930ab9646e751f,ICO_Wallet
0x850468f69fa4fe32816cd7698fd5bd1ece3e1d5c,ICO_Wallet
0x6e95c8e8557abc08b46f3c347ba06f8dc012763f,ICO_Wallet
0x851b7f3ab81bd8df354f0d7640efcd7288553419,ICO_Wallet
0x3257bde8cf067ae6f1ddc0e4b140fe02e3c5e44f,ICO_Wallet
0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,ICO_Wallet
0x175af261088b31e58ba384b3758f14bcf6c1f4e1,ICO_Wallet
0x004e6f03648b0b0f529511697b0f36a463a24836,ICO_Wallet
0x85992bb01c8c64a80656c1df988f313af6b661e9,ICO_Wallet
0x1706024467ef8c9c4648da6fc35f2c995ac79cf6,ICO_Wallet
